x,h
0,7.8346228022006e-12
1,6.348460610712729e-08
2,6.961932410684562e-05
3,0.010332423825283123
4,0.20753228024874817
5,0.5641312262188422
6,0.20753228024874817
7,0.010332423825283123
8,6.961932410684562e-05
9,6.348460610712729e-08
10,7.8346228022006e-12
