delay alpha respiration+photosynthesis-air_temperature sucrose+fructan+starch-air_temperature proteins-air_temperature N-air_temperature structure-air_temperature cytokinins-air_temperature respiration+photosynthesis-PARi sucrose+fructan+starch-PARi proteins-PARi N-PARi structure-PARi cytokinins-PARi respiration+photosynthesis-soil_temperature sucrose+fructan+starch-soil_temperature proteins-soil_temperature N-soil_temperature structure-soil_temperature cytokinins-soil_temperature respiration+photosynthesis-humidity sucrose+fructan+starch-humidity proteins-humidity N-humidity structure-humidity cytokinins-humidity respiration+photosynthesis-Wind sucrose+fructan+starch-Wind proteins-Wind N-Wind structure-Wind cytokinins-Wind
0 -3.5 0.2013778698044336 1.0 0.15718670232200188 0.9522970209212896 1.0 1.0 0.03121016982385948 1.0 0.3955053239104433 0.4391689044520372 0.94558182092908 1.0 0.6558758985804376 1.0 0.3248643463068521 0.8692963224834708 1.0 1.0 0.6506221203143816 1.0 0.7521395698055814 0.6491241483552957 0.860949523203915 1.0 0.8286038257182986 1.0 0.8021483360247589 0.7759259039981 0.7399493499178316 1.0
0 -3.0 0.20137794826367855 1.0 0.15718688687490218 0.9522970566070524 1.0 1.0 0.031209540606554426 1.0 0.3955040327777528 0.4391675388003471 0.9455819666226316 1.0 0.6558766089940287 1.0 0.3248642026321235 0.8692962563705279 1.0 1.0 0.6506223010700587 1.0 0.7521395905648344 0.6491240555803816 0.8609495744954037 1.0 0.828603790235713 1.0 0.8021482916894547 0.7759259127256157 0.7399493029957551 1.0
0 -2.5 0.20137873285861896 1.0 0.15718873239239595 0.9522974134641428 1.0 1.0 0.03120324988555889 1.0 0.3954911225918513 0.4391538835112993 0.9455834235455662 1.0 0.6558837130750297 1.0 0.3248627659088784 0.8692955952523007 1.0 1.0 0.6506241086116579 1.0 0.752139798182477 0.6491231279016954 0.8609500874128664 1.0 0.8286034354168557 1.0 0.8021478483429588 0.7759260000006415 0.7399488337811418 1.0
0 -2.0 0.20138657905677051 1.0 0.1572071864159473 0.952300981980908 1.0 1.0 0.03114048771378945 1.0 0.39536213473346815 0.4390174533010284 0.9455979915123144 1.0 0.6559547483942478 1.0 0.3248484010803151 0.8692889851901507 1.0 1.0 0.6506421825100158 1.0 0.752141876868766 0.6491138581575417 0.8609552168449359 1.0 0.8285998879283145 1.0 0.802143415532747 0.7759268727377191 0.7399441422503119 1.0
0 -1.5 0.2014650653632147 1.0 0.15739161102710592 0.9523366616074296 1.0 1.0 0.030527204131142342 1.0 0.3940835575131223 0.4376653146457976 0.9457435403596802 1.0 0.6566645531394648 1.0 0.32470499274430403 0.8692229963983421 1.0 1.0 0.6508227695211001 1.0 0.7521629135235663 0.6490218621687469 0.8610065366047859 1.0 0.8285644829456561 1.0 0.8020991528184176 0.7759355987835844 0.7398972884154021 1.0
0 -1.0 0.2022518461785569 1.0 0.1592238487009036 0.9526927826037244 1.0 1.0 0.0256774635029316 1.0 0.38233725958549897 0.42538085178538015 0.9471820838873506 1.0 0.6637083765759858 1.0 0.3232944750736419 0.8685741119455219 1.0 1.0 0.6526132511726757 1.0 0.7523971072093135 0.6481693290349894 0.8615219853390114 1.0 0.8282173246632044 1.0 0.8016629793199627 0.7760227200001247 0.7394348413179653 1.0
0 -0.5 0.21002115505194047 1.0 0.1761506917607525 0.9561107872497384 1.0 1.0 0.030994603886078376 1.0 0.3269142399759715 0.3628976221729257 0.9589001870328172 1.0 0.7292498513410383 1.0 0.3111934802775534 0.8630307428551103 1.0 1.0 0.6689108241514758 1.0 0.7562841837899007 0.644466745962573 0.8666988861745563 1.0 0.8263177480863496 1.0 0.7978736482369033 0.776875801923817 0.7353676597665816 1.0
0 0.0 0.2814526732308723 1.0 0.2583082656728387 0.9745817950143644 1.0 1.0 0.12612997171547966 1.0 0.3187568365397043 0.3642302966634071 0.9562813730214698 1.0 0.8973879323846529 1.0 0.28144415619349844 0.8423413734236451 1.0 1.0 0.7410687500843881 1.0 0.7951942968705749 0.6702603997828839 0.8979912630750467 1.0 0.8223190386623518 1.0 0.7860076256486218 0.7835915595205064 0.7223124913686693 1.0
0 0.5 0.4354528579166155 1.0 0.4343675716492597 0.9880643746919836 1.0 1.0 0.14951809832266116 1.0 0.3463930338280791 0.4045691859338269 0.9878821189330506 1.0 0.5320108771537627 1.0 0.3352930591509363 0.7378125784017334 0.8355811604258037 1.0 0.7951785656002289 1.0 0.8346716637572406 0.719291231197121 0.9355303537297872 0.8950452140279108 0.8401795704704882 0.8148795587737058 0.80712182903854 0.8094049837133878 0.7491790678498085 0.9109838261555828
0 1.0 0.9842942216525628 1.0 0.49845535621310705 1.0 1.0 1.0 0.20147094182834493 1.0 0.3888346624054047 0.4422945362009218 0.9866675343074782 1.0 0.5212866965326065 0.8183110461887483 0.37182853210157496 0.7556672711390346 0.8569103032328034 0.7299371162463979 0.8198597688482062 1.0 0.8513553866517269 0.7520984193521629 1.0 0.9064798460768976 0.8680110531220185 0.8469870188804332 0.8409050652658644 0.8451381891010481 0.7904541733815029 0.92590913111886
