x,alpha0.1,alpha0.5,alpha1.0,alpha2.0,alpha5.0,alpha10.0
-1.6599999999999997,-1.6503979685255687,-1.4725183763947391,-1.2214079843734456,-1.0346066630318873,-1.0000906804495842,-1.0000000041222996
-1.6499999999999997,-1.6406345316666893,-1.4666888908984528,-1.2196228321750382,-1.034496295241584,-1.0000906674575654,-1.000000004122298
-1.6399999999999997,-1.6308679012766176,-1.4608197601691306,-1.217804207132825,-1.0343814357434205,-1.0000906530991642,-1.0000000041222958
-1.6299999999999997,-1.621098095331051,-1.4549108748520045,-1.2159515329322375,-1.034261902265085,-1.0000906372306773,-1.0000000041222934
-1.6199999999999997,-1.6113251318300814,-1.4489621281081897,-1.2140642253516616,-1.0341375051817379,-1.000090619693287,-1.0000000041222903
-1.6099999999999997,-1.6015490287980754,-1.4429734156654426,-1.2121416922354753,-1.0340080472230875,-1.0000906003114738,-1.0000000041222865
-1.5999999999999996,-1.5917698042835406,-1.4369446358691014,-1.210183333470857,-1.0338733231691006,-1.000090578891258,-1.000000004122282
-1.5899999999999996,-1.5819874763590043,-1.430875689733201,-1.2081885409685533,-1.0337331195339363,-1.0000905552182588,-1.0000000041222763
-1.5799999999999996,-1.572202063120882,-1.4247664809917406,-1.2061566986478052,-1.0335872142376672,-1.0000905290555495,-1.0000000041222696
-1.5699999999999996,-1.5624135826893537,-1.4186169161500968,-1.2040871824256372,-1.0334353762653554,-1.0000905001412845,-1.0000000041222612
-1.5599999999999996,-1.5526220532082309,-1.4124269045365592,-1.2019793602107185,-1.0332773653130225,-1.000090468186081,-1.000000004122251
-1.5499999999999996,-1.5428274928448305,-1.4061963583539825,-1.1998325919020083,-1.0331129314200458,-1.0000904328701203,-1.0000000041222386
-1.5399999999999996,-1.5330299197898463,-1.399925192731531,-1.1976462293924106,-1.0329418145875027,-1.0000903938399492,-1.0000000041222232
-1.5299999999999996,-1.5232293522572187,-1.393613325776506,-1.1954196165776594,-1.0327637443819622,-1.000090350704941,-1.0000000041222046
-1.5199999999999996,-1.5134258084840042,-1.3872606786262318,-1.1931520893706697,-1.0325784395242168,-1.0000903030333865,-1.000000004122182
-1.5099999999999996,-1.5036193067302464,-1.3808671754999933,-1.1908429757215917,-1.0323856074624314,-1.0000902503481732,-1.0000000041221542
-1.4999999999999996,-1.4938098652788452,-1.3744327437509993,-1.1884915956438085,-1.03218494392917,-1.0000901921220113,-1.0000000041221202
-1.4899999999999995,-1.4839975024354257,-1.36795731391836,-1.1860972612461285,-1.031976132481747,-1.0000901277721541,-1.0000000041220787
-1.4799999999999995,-1.4741822365282067,-1.3614408197790577,-1.1836592767714278,-1.0317588440253431,-1.0000900566545685,-1.000000004122028
-1.4699999999999995,-1.4643640859078701,-1.3548831983998906,-1.1811769386419981,-1.031532736318299,-1.0000899780574868,-1.0000000041219663
-1.4599999999999995,-1.454543068947427,-1.3482843901893777,-1.1786495355118696,-1.0312974534589994,-1.000089891194285,-1.0000000041218908
-1.4499999999999995,-1.4447192040420875,-1.3416443389495993,-1.176076348326376,-1.0310526253537393,-1.0000897951956094,-1.0000000041217987
-1.4399999999999995,-1.4348925096091267,-1.3349629919279569,-1.17345665038924,-1.0307978671649511,-1.0000896891006756,-1.0000000041216859
-1.4299999999999995,-1.4250630040877514,-1.328240299868831,-1.170789707437458,-1.0305327787391632,-1.0000895718476535,-1.0000000041215484
-1.4199999999999995,-1.415230705938968,-1.3214762170651184,-1.1680747777242677,-1.030256944014044,-1.0000894422630393,-1.0000000041213803
-1.4099999999999995,-1.4053956336454472,-1.3146707014096308,-1.1653111121104938,-1.029969930403877,-1.0000892990499117,-1.0000000041211752
