delay alpha respiration+photosynthesis-air_temperature sucrose+fructan+starch-air_temperature proteins-air_temperature N-air_temperature structure-air_temperature cytokinins-air_temperature respiration+photosynthesis-PARi sucrose+fructan+starch-PARi proteins-PARi N-PARi structure-PARi cytokinins-PARi respiration+photosynthesis-soil_temperature sucrose+fructan+starch-soil_temperature proteins-soil_temperature N-soil_temperature structure-soil_temperature cytokinins-soil_temperature respiration+photosynthesis-humidity sucrose+fructan+starch-humidity proteins-humidity N-humidity structure-humidity cytokinins-humidity respiration+photosynthesis-Wind sucrose+fructan+starch-Wind proteins-Wind N-Wind structure-Wind cytokinins-Wind
0 -3.5 1.0 1.0 0.041671146521010366 1.0 1.0 1.0 1.0 0.13983640876707834 0.08440197569269722 0.10147067561092647 1.0 1.0 1.0 1.0 0.17249166660899914 1.0 1.0 1.0 1.0 0.9853020388869591 0.8682078357455555 0.998306529198108 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 -3.0 1.0 1.0 0.04167112200487672 1.0 1.0 1.0 1.0 0.139836387406819 0.08440204741831141 0.1014708388665416 1.0 1.0 1.0 1.0 0.17249162728010614 1.0 1.0 1.0 1.0 0.9853020816884654 0.8682078755484123 0.998306548249496 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 -2.5 1.0 1.0 0.041670876861766286 1.0 1.0 1.0 1.0 0.13983617399956114 0.08440276486943607 0.10147247159470787 1.0 1.0 1.0 1.0 0.17249123401844818 1.0 1.0 1.0 1.0 0.9853025097558606 0.8682082736142939 0.9983067388007709 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 -2.0 1.0 1.0 0.041668427253321164 1.0 1.0 1.0 1.0 0.13983405944346378 0.08440995886067629 0.10148881605967976 1.0 1.0 1.0 1.0 0.1724873041268089 1.0 1.0 1.0 1.0 0.9853067956584771 0.8682122580012795 0.9983086480493721 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 -1.5 1.0 1.0 0.041644113024940886 1.0 1.0 1.0 1.0 0.13981484859546287 0.08448382837431265 0.10165396046302187 1.0 1.0 1.0 1.0 0.17244827701562465 1.0 1.0 1.0 1.0 0.98535017300884 0.8682524710831758 0.9983281108920046 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 -1.0 1.0 1.0 0.041418756109350176 1.0 1.0 1.0 1.0 0.1398005102971485 0.08539849922387928 0.10357594998658667 1.0 1.0 1.0 1.0 0.172084510553732 1.0 1.0 1.0 1.0 0.9858315245128187 0.8686881567866498 0.9985567418425902 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 -0.5 1.0 1.0 0.040704577371665766 1.0 1.0 1.0 1.0 0.875447386445374 0.10226973256486613 0.1254046042140636 0.9992769608483792 1.0 1.0 1.0 0.16973197327847872 1.0 1.0 1.0 1.0 0.9928960368215262 0.8744627128110215 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 0.0 1.0 1.0 0.07082997841144288 1.0 1.0 1.0 1.0 0.22655327283230034 0.19323677008682594 0.22826262835555494 0.9963210802120516 1.0 1.0 1.0 0.20109047939382832 1.0 1.0 1.0 1.0 1.0 0.9037280814473378 0.9125080587498942 1.0 1.0 1.0 1.0 0.3839452855763225 1.0 1.0 1.0
0 0.5 1.0 0.9728522272703032 0.19723103078631632 1.0 1.0 1.0 1.0 0.3007919557383402 0.28452151850365504 0.3227563773829424 0.9966190673909571 1.0 1.0 1.0 0.3446051194955041 1.0 1.0 1.0 1.0 1.0 0.9137900174225984 0.9118122769839412 1.0 1.0 1.0 1.0 0.4204963650699087 1.0 1.0 1.0
0 1.0 1.0 0.6679391281679474 0.29779232681662016 0.9742124742171422 1.0 0.7531963698643994 1.0 0.35357694870429096 0.3414505315150397 0.3807855190927256 0.9968832073737076 1.0 1.0 0.7411400519113903 0.4302691244790984 0.9959124881372321 1.0 1.0 1.0 1.0 0.9154938429313636 0.9760682501407422 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.7049426541369044
5 -3.5 1.0 1.0 0.4023800440525349 1.0 1.0 1.0 1.0 0.8973972401863781 0.9423110548733418 0.9477122184156224 1.0 1.0 1.0 1.0 0.44741049850735204 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5 -3.0 1.0 1.0 0.4023800159394856 1.0 1.0 1.0 1.0 0.8973968926139378 0.9423104132074668 0.947711974435814 1.0 1.0 1.0 1.0 0.4474103114422625 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5 -2.5 1.0 1.0 0.4023797348307833 1.0 1.0 1.0 1.0 0.8973934170845995 0.9423039969047406 0.9477095347541009 1.0 1.0 1.0 1.0 0.4474084408469596 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5 -2.0 1.0 1.0 0.4023769259214374 1.0 1.0 1.0 1.0 0.8973586812880007 0.9422398694624292 0.9476851495684792 1.0 1.0 1.0 1.0 0.44738974045349816 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5 -1.5 1.0 1.0 0.4023490538827145 1.0 1.0 1.0 1.0 0.8970132635718892 0.9416021351677974 0.9474424558448518 1.0 1.0 1.0 1.0 0.4472032912155122 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5 -1.0 1.0 1.0 0.4020913465257108 1.0 1.0 1.0 1.0 0.8937441368257868 0.9355614382239156 0.9451265296824066 1.0 1.0 1.0 1.0 0.4453930369817016 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5 -0.5 1.0 1.0 0.4010848255249373 1.0 1.0 1.0 1.0 0.8735134655720116 0.8975360506858432 0.9293851312212464 1.0 1.0 1.0 1.0 0.4315015475618061 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.5484515189578424 1.0 1.0 1.0
5 0.0 1.0 1.0 0.3667141307267097 1.0 1.0 1.0 1.0 0.8617700469929109 0.8607741702918537 0.9031763066066552 1.0 1.0 1.0 1.0 0.4215496510367182 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.597022576027849 1.0 1.0 1.0
5 0.5 1.0 1.0 0.5492404604262677 1.0 1.0 1.0 1.0 0.8826357097190703 0.8753546425485541 0.9072668480076768 1.0 1.0 1.0 1.0 0.5610610953618951 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.6669570450066125 1.0 1.0 1.0
